AZUL	B	12.5900	2.8600	\N	3	58.0900	\N	0.6000	6.4100	33.2300	-2.6300
AZZ	B-	31.1100	7.2400	6	3	48.1700	25.1500	0.8100	8.6100	19.7000	-4.1300
B	B	40.1600	5.4900	6	4	57.2800	13.4100	1.3700	12.4600	7.9600	1.4700
BA	C	187.9400	4.4300	2	4	56.8800	\N	1.3100	\N	28.7400	-1.5700
BAB	B-	33.1700	-0.2400	\N	3	63.6700	\N	\N	\N	4.8700	1.5600
BABA	B	249.2100	0.2500	7	3	63.6600	30.9500	9.1900	30.0400	19.7100	14.8300
BAC	B-	24.6000	1.9100	\N	3	55.4500	10.0400	2.9300	3.3700	10.8600	-2.1900
BAH	B	72.5000	0.4000	8	3	39.4200	21.3000	1.3400	33.0000	-3.0900	-5.7300
BAK	C	9.0200	1.4600	3	\N	50.0600	\N	0.3800	\N	10.9500	-6.0400
BAM	C+	34.8600	2.2300	5	\N	60.5500	38.2200	0.7800	23.6100	5.0600	2.7700
BANC	C+	10.5300	8.3300	\N	3	53.5300	\N	1.3700	\N	23.3000	-1.8600
BAND	B+	126.2100	-2.5900	4	2	48.9800	\N	12.4300	\N	73.7700	3.1500
BANR	C+	36.7600	6.6700	\N	4	53.8700	9.9000	2.3300	\N	15.7100	-3.9000
BAP	B-	130.5100	2.7600	\N	5	41.3400	10.7900	3.3400	5.6800	-6.0600	-17.2500
BAR	B-	18.0400	0.1100	\N	3	67.4900	\N	\N	\N	4.9400	5.0100
BAX	C+	87.0900	2.8800	6	4	54.8200	57.0000	3.8700	33.0000	0.2300	3.9500
